Date,Open,High,Low,Close,Adj Close,Volume
2020-02-07,266.109985,267.089996,264.399994,264.980011,263.302460,578600
2020-02-10,263.570007,268.339996,263.450012,268.279999,266.581604,550100
2020-02-11,270.649994,270.850006,267.000000,267.790009,266.094696,536300
2020-02-12,269.529999,270.720001,268.100006,270.640015,268.926666,513900
2020-02-13,268.760010,271.459991,268.309998,270.089996,268.380096,512500
2020-02-14,270.730011,271.760010,269.859985,271.179993,269.463196,482400
2020-02-18,269.269989,270.630005,268.720001,270.190002,268.479492,721800
2020-02-19,271.720001,273.730011,271.720001,273.209991,271.480347,659300
2020-02-20,272.890015,273.510010,266.839996,270.679993,268.966400,856300
2020-02-21,269.220001,269.500000,262.940002,264.679993,263.004364,1140200
2020-02-24,252.179993,257.250000,249.000000,253.850006,252.242935,1955900
2020-02-25,256.000000,256.880005,244.759995,245.779999,244.224030,1792800
2020-02-26,246.320007,251.889999,244.520004,246.350006,244.790436,1788900
2020-02-27,238.220001,243.750000,233.600006,233.600006,232.121140,2514300
2020-02-28,224.369995,237.330002,223.789993,235.649994,234.158142,3537500
2020-03-02,239.380005,248.020004,234.979996,248.020004,246.449860,2176000
2020-03-03,249.600006,251.199997,236.479996,238.970001,237.457153,2091200
2020-03-04,244.429993,248.899994,240.710007,248.720001,247.145416,951100
2020-03-05,242.270004,246.850006,239.429993,240.940002,239.414673,948100
2020-03-06,232.990005,237.220001,229.490005,235.830002,234.337021,1686800
2020-03-09,217.520004,227.110001,215.449997,217.649994,216.272095,2519100
2020-03-10,225.679993,230.520004,217.589996,230.520004,229.949158,3024600
2020-03-11,224.289993,225.539993,216.149994,219.429993,218.886612,1579900
2020-03-12,203.300003,214.080002,197.759995,197.839996,197.350082,3462700
2020-03-13,210.619995,219.889999,199.259995,219.630005,219.086121,2072300
2020-03-16,193.270004,206.580002,190.000000,190.009995,189.539459,1889800
2020-03-17,194.110001,204.559998,187.580002,201.460007,200.961121,1583900
2020-03-18,189.279999,198.000000,183.009995,194.690002,194.207886,3809500
2020-03-19,191.570007,201.559998,187.110001,195.000000,194.517120,1326600
2020-03-20,200.000000,201.919998,186.789993,187.149994,186.686554,1574000
2020-03-23,186.979996,190.330002,179.449997,185.490005,185.030670,1726000
2020-03-24,197.199997,204.949997,196.009995,204.770004,204.262924,1560200
2020-03-25,206.880005,214.119995,200.720001,204.869995,204.362671,1820300
2020-03-26,207.259995,217.940002,207.259995,217.529999,216.991318,1660300
2020-03-27,210.940002,214.539993,207.300003,207.910004,207.395142,1440300
2020-03-30,209.800003,216.500000,209.729996,216.139999,215.604767,1532600
2020-03-31,215.940002,219.250000,210.750000,211.899994,211.375259,1475500
2020-04-01,204.860001,208.800003,200.220001,201.880005,201.380081,1205000
2020-04-02,200.839996,206.320007,200.009995,205.830002,205.320297,761300
2020-04-03,205.050003,207.089996,200.000000,202.509995,202.008514,501600
2020-04-06,211.580002,221.270004,210.169998,219.759995,219.215790,1181100
2020-04-07,228.179993,228.179993,217.860001,218.089996,217.549927,1735400
2020-04-08,220.710007,225.289993,219.039993,224.350006,223.794434,1060900
2020-04-09,227.639999,228.550003,223.220001,224.880005,224.323120,1711700
2020-04-13,224.279999,225.440002,220.619995,225.389999,224.831863,1013700
2020-04-14,230.529999,235.000000,229.509995,234.539993,233.959198,1619400
2020-04-15,229.880005,231.080002,227.589996,229.460007,228.891785,911900
2020-04-16,232.190002,232.539993,228.240005,231.839996,231.265884,1251100
2020-04-17,236.039993,236.330002,232.050003,235.570007,234.986664,1008800
2020-04-20,232.490005,235.300003,231.610001,231.660004,231.086334,1313000
2020-04-21,228.479996,229.000000,220.850006,222.139999,221.589905,1050000
2020-04-22,227.570007,231.740005,226.649994,230.559998,229.989059,674400
2020-04-23,231.130005,233.770004,229.089996,229.380005,228.811981,600800
2020-04-24,230.240005,234.089996,228.710007,233.889999,233.310806,856600
2020-04-27,236.160004,237.009995,235.000000,236.550003,235.964233,886000
2020-04-28,239.500000,239.660004,233.270004,233.550003,232.971649,843100
2020-04-29,238.460007,244.199997,237.750000,243.520004,242.916962,948400
2020-04-30,244.089996,244.089996,240.330002,242.000000,241.400726,836600
2020-05-01,236.570007,239.320007,234.059998,235.050003,234.467941,929700
2020-05-04,233.330002,238.139999,232.570007,237.940002,237.350784,624800
2020-05-05,240.649994,244.470001,240.449997,241.619995,241.021667,899900
2020-05-06,243.660004,245.710007,242.160004,243.360001,242.757355,712000
2020-05-07,247.020004,249.110001,246.679993,247.740005,247.126526,812200
2020-05-08,250.350006,251.710007,248.539993,251.410004,250.787430,774100
2020-05-11,249.789993,254.660004,249.350006,253.139999,252.513138,1384000
2020-05-12,254.369995,254.910004,247.699997,247.699997,247.086609,3595300
2020-05-13,248.130005,249.759995,240.160004,243.300003,242.697510,1163500
2020-05-14,241.309998,246.500000,238.580002,246.229996,245.620255,799800
2020-05-15,242.770004,247.679993,242.100006,247.679993,247.066650,665300
2020-05-18,252.589996,255.089996,251.949997,253.649994,253.021866,900500
2020-05-19,254.039993,256.970001,252.880005,252.880005,252.253784,709600
2020-05-20,256.529999,259.170013,256.209991,258.670013,258.029449,709000
2020-05-21,258.489990,259.359985,254.929993,255.470001,254.837372,704800
2020-05-22,255.070007,256.899994,254.009995,256.720001,256.084290,521100
2020-05-26,261.899994,261.899994,256.450012,256.899994,256.263824,763100
2020-05-27,256.750000,258.359985,250.910004,258.329987,257.690277,836700
2020-05-28,257.589996,262.549988,257.000000,257.809998,257.171570,702500
2020-05-29,258.440002,261.700012,256.540009,261.029999,260.383606,738500
2020-06-01,259.980011,262.480011,259.089996,261.869995,261.221527,1017600
2020-06-02,262.369995,264.209991,259.660004,264.209991,263.555725,570700
2020-06-03,265.269989,267.350006,264.299988,266.670013,266.009644,716600
2020-06-04,265.709991,267.109985,262.410004,264.049988,263.396118,706400
2020-06-05,266.049988,271.170013,265.119995,270.429993,269.760315,713800
2020-06-08,270.200012,272.170013,267.899994,272.089996,271.416199,1388400
2020-06-09,270.619995,274.179993,270.320007,272.700012,272.024719,638800
2020-06-10,274.809998,278.779999,274.100006,276.760010,276.074646,641200
2020-06-11,270.959991,272.170013,260.730011,260.989990,260.343689,1338400
2020-06-12,268.570007,269.380005,259.660004,264.200012,263.545776,1116200
2020-06-15,259.170013,268.450012,258.609985,267.489990,266.827606,745000
2020-06-16,274.239990,275.359985,269.000000,273.119995,272.443665,1103700
2020-06-17,275.190002,275.559998,272.609985,272.910004,272.234192,540400
2020-06-18,272.619995,274.700012,272.010010,274.399994,273.720490,666800
2020-06-19,277.720001,278.019989,271.399994,272.579987,271.904999,638100
2020-06-22,272.380005,277.179993,271.970001,276.940002,276.940002,553300
2020-06-23,279.160004,282.040009,278.429993,278.760010,278.760010,695300
2020-06-24,277.709991,279.230011,270.880005,272.459991,272.459991,911600
